date|time|description|vendor|amount 
2024-10-16|16:43:47|YearUP Payment|Wisely|500.0
2024-10-16|16:44:13|Netflix subscription|Netflix|-5.99
2024-09-16|16:31:13|BayMax Movie|IMAX|-20.99
2023-04-15|10:13:25|Ergonomic Keyboard|Amazon|-89.5
2023-04-15|11:15:00|Invoice 1001 Paid|Joe|1500.0
2023-06-10|14:45:30|Wireless Mouse|Best Buy|-45.99
2023-06-10|16:30:15|Monthly Subscription|Netflix|-12.99
2023-07-21|10:05:50|Consulting Fee|Client A|750.0
2023-07-22|09:10:05|Laptop Purchase|Apple|-1499.0
2023-08-09|12:15:45|Coffee Supplies|Starbucks|-15.75
2023-08-09|14:00:25|Invoice 1023 Paid|Client B|1200.0
2023-09-03|11:20:35|Office Rent|Landlord|-1000.0
2023-09-05|12:05:50|Printer Ink|Staples|-65.99
2023-10-01|13:30:20|Web Hosting|GoDaddy|-19.99
2024-10-16|16:48:15|Invoice 101 paid|HelloWorld|566.0
2024-10-16|16:48:34|Hulu subscription|Hulu|-9.99
2023-12-12|15:30:55|Meal Reimbursement|Team Member A|-45.60
2024-01-02|11:10:10|Invoice 1055 Paid|Client E|1800.00
2024-01-15|16:50:30|Travel Expenses|Delta Airlines|-300.00
2024-01-17|14:20:45|Domain Renewal|Bluehost|-15.99
2024-01-25|10:35:55|Software License|Adobe|-99.99
